,day,time,open,high,low,close
285,20210331,13:54:00,956.65,956.7,956.37,956.38
286,20210331,13:51:00,956.6700000000001,956.85,956.64,956.64
287,20210331,13:48:00,956.63,956.78,956.57,956.63
288,20210331,13:45:00,956.72,956.74,956.63,956.71
289,20210331,13:42:00,956.8000000000001,956.9200000000001,956.71,956.71
290,20210331,13:39:00,956.6800000000001,956.88,956.6800000000001,956.8000000000001
291,20210331,13:36:00,956.45,956.72,956.44,956.63
292,20210331,13:33:00,956.1800000000001,956.5500000000001,956.1800000000001,956.5500000000001
293,20210331,13:30:00,956.49,956.49,956.22,956.22
294,20210331,13:27:00,956.28,956.5,956.28,956.47
295,20210331,13:24:00,956.32,956.38,956.27,956.33
296,20210331,13:21:00,956.24,956.3000000000001,956.2,956.24
297,20210331,13:18:00,957.36,957.49,956.21,956.24
298,20210331,13:15:00,957.46,957.57,957.39,957.4
299,20210331,13:12:00,957.33,957.54,957.3100000000001,957.5
300,20210331,13:09:00,957.11,957.32,957.07,957.32
301,20210331,13:06:00,956.53,957.2,956.5,957.2
302,20210331,13:03:00,956.49,956.5600000000001,956.38,956.54
303,20210331,13:00:00,956.34,956.52,956.29,956.5
304,20210331,12:57:00,956.32,956.37,956.23,956.37
305,20210331,12:54:00,956.29,956.41,956.19,956.27
306,20210331,12:51:00,956.21,956.3100000000001,956.12,956.3100000000001
307,20210331,12:48:00,956.1,956.28,956.1,956.27
308,20210331,12:45:00,956.22,956.26,956.12,956.13
309,20210331,12:42:00,956.02,956.16,955.94,956.16
310,20210331,12:39:00,956.21,956.21,956.04,956.07
311,20210331,12:36:00,956.24,956.3100000000001,956.1800000000001,956.1800000000001
312,20210331,12:33:00,956.26,956.39,956.24,956.25
313,20210331,12:30:00,956.27,956.27,956.14,956.23
314,20210331,12:27:00,955.96,956.24,955.94,956.19
315,20210331,12:24:00,955.89,956.03,955.8100000000001,955.94
316,20210331,12:21:00,955.88,955.97,955.87,955.88
317,20210331,12:18:00,955.84,955.96,955.77,955.9
318,20210331,12:15:00,955.88,955.98,955.82,955.83
319,20210331,12:12:00,955.69,955.97,955.69,955.89
320,20210331,12:09:00,955.4,955.78,955.3000000000001,955.71
321,20210331,12:06:00,955.28,955.47,955.24,955.4
322,20210331,12:03:00,955.25,955.3100000000001,955.15,955.3100000000001
323,20210331,12:00:00,955.1800000000001,955.3000000000001,955.01,955.23
324,20210331,11:57:00,955.08,955.19,955.04,955.19
325,20210331,11:54:00,954.94,955.04,954.89,955.01
326,20210331,11:51:00,955.37,955.4300000000001,954.85,954.89
327,20210331,11:48:00,955.48,955.57,955.3100000000001,955.37
