,day,time,open,high,low,close,amount,5,20,60,120
192,20210401,12:09:00,961.96,962.12,961.94,962.1,7874,8664.0,10071.55,16515.583333333332,15631.15
193,20210401,12:06:00,962.04,962.04,961.9,962.01,8720,9244.4,10281.6,17197.216666666667,15640.758333333333
194,20210401,12:03:00,962.02,962.09,961.95,962.09,7944,9453.0,10308.5,18104.383333333335,15633.066666666668
195,20210401,12:00:00,961.96,962.07,961.83,962.03,8649,9560.0,10317.8,18923.133333333335,15649.975
196,20210401,11:57:00,961.87,961.97,961.82,961.96,10133,10228.6,10349.3,20017.733333333334,15633.608333333334
197,20210401,11:54:00,961.87,961.98,961.83,961.89,10776,10365.2,10333.9,20727.916666666668,15619.683333333332
198,20210401,11:51:00,962.65,962.69,961.73,961.9200000000001,9763,10365.2,10351.4,20800.566666666666,15590.841666666667
199,20210401,11:48:00,963.1700000000001,963.26,962.74,962.74,8479,10690.8,10412.7,20902.75,15572.208333333334
200,20210401,11:45:00,963.4,963.4200000000001,963.1700000000001,963.2,11992,11234.6,10482.3,20980.916666666668,15555.675
201,20210401,11:42:00,963.32,963.37,963.21,963.35,10816,11055.6,10435.3,21011.733333333334,15527.191666666668
202,20210401,11:39:00,963.49,963.5,963.3000000000001,963.35,10776,10701.6,10452.55,21051.266666666666,15501.225
203,20210401,11:36:00,963.65,963.71,963.47,963.47,11391,10283.2,10515.0,21087.566666666666,15496.9
204,20210401,11:33:00,963.66,963.8000000000001,963.6,963.71,11198,9750.2,10525.4,21086.966666666667,15458.725
205,20210401,11:30:00,963.5600000000001,963.73,963.47,963.71,11097,9646.0,10464.4,21105.516666666666,15420.45
206,20210401,11:27:00,963.62,963.75,963.62,963.63,9046,10224.2,10446.0,21164.15,15381.058333333332
207,20210401,11:24:00,963.07,963.74,963.07,963.66,8684,10555.4,10690.1,21232.5,15356.95
208,20210401,11:21:00,962.65,962.96,962.65,962.96,8726,11233.6,11009.65,21258.033333333333,15334.083333333334
209,20210401,11:18:00,962.49,962.65,962.23,962.65,10677,11340.0,11330.65,21276.066666666666,15320.716666666667
210,20210401,11:15:00,961.89,962.5500000000001,961.88,962.51,13988,10830.6,11495.0,21300.1,15290.141666666666
211,20210401,11:12:00,961.74,961.9300000000001,961.62,961.9300000000001,10702,9888.8,11695.55,21288.983333333334,15226.491666666667
212,20210401,11:09:00,961.45,961.8000000000001,961.4,961.8000000000001,12075,9713.4,11855.55,21334.666666666668,15202.45
213,20210401,11:06:00,961.5,961.5600000000001,961.37,961.4,9258,9523.6,12148.25,21333.1,15163.508333333333
214,20210401,11:03:00,961.41,961.61,961.3100000000001,961.61,8130,9869.8,12681.45,21392.783333333333,15174.45
215,20210401,11:00:00,960.64,961.4200000000001,960.52,961.41,9279,10218.0,13379.05,21419.466666666667,15187.475
216,20210401,10:57:00,960.38,960.63,960.38,960.5600000000001,9825,10572.6,14231.5,21440.566666666666,15193.775
217,20210401,10:54:00,959.86,960.37,959.83,960.32,11126,10839.8,14784.95,21483.6,15204.791666666666
218,20210401,10:51:00,959.76,959.88,959.66,959.86,10989,11019.6,15416.4,21490.966666666667,15187.116666666667
219,20210401,10:48:00,959.73,959.94,959.73,959.8000000000001,9871,11141.6,16115.15,21437.3,15187.858333333334
220,20210401,10:45:00,959.75,959.8000000000001,959.65,959.75,11052,11163.0,16990.9,21428.216666666667,15218.316666666668
221,20210401,10:42:00,959.77,959.8100000000001,959.72,959.78,11161,11098.4,17411.95,21374.683333333334,15217.725
222,20210401,10:39:00,959.74,959.85,959.6800000000001,959.77,12025,11651.8,18013.5,21352.616666666665,15234.891666666666
223,20210401,10:36:00,959.84,960.03,959.76,959.78,11599,12261.8,18688.0,21304.116666666665,15227.083333333334
224,20210401,10:33:00,960.07,960.07,959.73,959.85,9978,12971.2,19428.55,21274.133333333335,15218.508333333333
225,20210401,10:30:00,959.74,960.13,959.74,960.13,10729,13768.4,20177.55,21279.683333333334,15227.533333333333
226,20210401,10:27:00,959.49,959.72,959.41,959.72,13928,15222.4,21075.35,21291.05,15245.325
