,day,open,high,low,close
298,20200117,"2,261.57","2,268.71","2,245.58","2,250.57"
299,20200116,"2,231.93","2,249.09","2,225.41","2,248.05"
300,20200115,"2,229.80","2,238.21","2,223.39","2,230.98"
301,20200114,"2,243.06","2,250.79","2,232.94","2,238.88"
302,20200113,"2,204.49","2,230.43","2,204.49","2,229.26"
303,20200110,"2,189.48","2,206.92","2,188.10","2,206.39"
304,20200109,"2,182.20","2,186.45","2,172.16","2,186.45"
305,20200108,"2,156.27","2,162.32","2,137.72","2,151.31"
306,20200107,"2,166.60","2,181.62","2,164.27","2,175.54"
307,20200106,"2,154.97","2,164.42","2,149.95","2,155.07"
308,20200103,"2,192.58","2,203.38","2,165.39","2,176.46"
309,20200102,"2,201.21","2,202.32","2,171.84","2,175.17"
310,20191230,"2,202.62","2,208.04","2,195.65","2,197.67"
311,20191227,"2,183.70","2,215.55","2,177.40","2,204.21"
312,20191226,"2,192.22","2,198.01","2,183.90","2,197.93"
313,20191224,"2,206.23","2,206.23","2,187.58","2,190.08"
314,20191223,"2,208.22","2,209.20","2,196.43","2,203.71"
315,20191220,"2,205.57","2,206.82","2,194.80","2,204.18"
316,20191219,"2,199.42","2,204.73","2,186.59","2,196.56"
317,20191218,"2,194.92","2,204.04","2,187.32","2,194.76"
318,20191217,"2,179.40","2,196.01","2,171.09","2,195.68"
319,20191216,"2,168.05","2,175.01","2,166.29","2,168.15"
320,20191213,"2,164.63","2,170.25","2,159.45","2,170.25"
321,20191212,"2,120.13","2,138.93","2,120.13","2,137.35"
322,20191211,"2,098.28","2,109.22","2,092.48","2,105.62"
323,20191210,"2,081.22","2,100.48","2,080.16","2,098.00"
324,20191209,"2,091.94","2,093.81","2,084.31","2,088.65"
325,20191206,"2,072.44","2,084.44","2,070.17","2,081.85"
326,20191205,"2,078.31","2,084.29","2,053.56","2,060.74"
327,20191204,"2,070.84","2,072.91","2,057.45","2,068.89"
328,20191203,"2,075.02","2,085.71","2,066.60","2,084.07"
329,20191202,"2,097.55","2,103.87","2,088.92","2,091.92"
330,20191129,"2,125.53","2,125.53","2,085.10","2,087.96"
331,20191128,"2,116.93","2,127.75","2,116.58","2,118.60"
332,20191127,"2,134.47","2,136.30","2,118.07","2,127.85"
