,day,open,high,low,close
404,20190812,590.43,594.7,585.07,594.17
405,20190809,590.51,593.28,585.94,590.04
406,20190808,571.59,585.44,571.0,585.44
407,20190807,562.47,567.52,554.18,564.64
408,20190806,555.07,577.51,540.83,551.5
409,20190805,614.69,615.23,569.78,569.79
410,20190802,612.01,622.36,607.01,615.7
411,20190801,627.94,634.44,622.25,622.26
412,20190731,625.05,631.43,610.7,630.18
413,20190730,620.33,630.61,620.33,625.64
414,20190729,643.34,643.34,618.78,618.78
415,20190726,650.3,652.38,640.43,644.59
416,20190725,660.3,661.62,647.38,652.4
417,20190724,670.31,672.36,659.26,659.83
418,20190723,675.84,678.27,666.79,668.65
419,20190722,674,675.48,671.44,674.78
420,20190719,668.2,674.06,668.2,674.06
421,20190718,665.09,669.47,661.82,665.15
422,20190717,673.08,673.34,661.93,666.28
423,20190716,675.67,679.69,672.77,674.42
424,20190715,682.36,682.36,671.71,674.79
425,20190712,677.87,682.65,673.76,681.17
426,20190711,669.98,677.11,668.42,677.09
427,20190710,662.3,670.68,660.62,666.9
428,20190709,670.76,675.09,657.77,657.8
429,20190708,691.97,691.97,668.72,668.72
430,20190705,692.86,694.39,686.93,694.17
431,20190704,693.96,694.63,682.73,691.27
432,20190703,697.68,698.89,689.86,693.04
433,20190702,695.8,699.44,693.19,696.25
434,20190701,696.38,697.97,692.76,696.0
435,20190628,698.63,700.42,687.29,690.53
436,20190627,711.18,713.14,694.53,698.21
437,20190626,710.15,713.57,706.44,709.37
438,20190625,719.03,720.06,707.64,710.02
439,20190624,725.04,725.05,717.22,717.69
440,20190621,729.2,729.2,721.96,722.64
441,20190620,719.54,727.34,719.31,727.32
442,20190619,721.66,722.66,714.98,717.71
443,20190618,721.25,723.79,713.17,714.86
444,20190617,723.52,723.9,718.62,719.13
445,20190614,729.39,729.39,721.44,722.25
446,20190613,724.57,730.86,721.87,726.68
447,20190612,729.06,729.06,721.91,724.32
448,20190611,723.61,728.79,722.51,728.79
449,20190610,721.12,721.5,717.08,721.14
450,20190607,711.77,716.56,708.73,716.53
451,20190605,709.07,710.11,706.76,707.75
452,20190604,699.12,702.53,697.2,702.53
453,20190603,693.26,698.35,691.8,697.5
454,20190531,688.7,699.4,687.71,696.47
455,20190530,692.6,696.45,685.31,689.33
456,20190529,699.12,699.53,689.9,691.47
457,20190528,691.55,702.76,690.78,702.76
458,20190527,692.06,696.3,684.07,689.67
459,20190524,694.02,696.75,686.72,690.03
460,20190523,707.74,707.95,696.88,696.89
461,20190522,709.38,710.46,702.25,706.93
462,20190521,701.83,708.16,700.0,703.98
463,20190520,717.12,719.57,701.76,702.08
464,20190517,723.94,727.56,713.94,714.13
465,20190516,731.09,731.78,716.68,717.59
466,20190515,714.94,729.63,713.49,729.6
467,20190514,698.86,714.8,698.3,710.16
468,20190513,722.19,724.78,708.77,708.8
469,20190510,726.06,729.84,712.15,722.62
470,20190509,746.96,747.96,722.6,724.22
471,20190508,745.86,751.55,745.36,745.37
472,20190507,751.26,757.97,749.27,753.45
473,20190503,761.13,762.72,758.42,761.82
474,20190502,753.51,760.94,753.43,760.38
475,20190430,751.4,755.11,746.42,754.74
476,20190429,744.01,750.6,742.43,750.6
477,20190426,748.3,750.23,739.84,741.0
478,20190425,757.64,757.64,750.43,750.43
479,20190424,765,765.02,755.93,757.82
480,20190423,763.58,764.48,756.77,761.42
481,20190422,764.37,767.02,760.02,762.01
482,20190419,757.42,762.95,757.35,762.57
483,20190418,767.74,767.85,751.59,753.52
484,20190417,766.7,768.43,765.36,766.89
485,20190416,767.59,767.73,758.69,765.02
486,20190415,770.63,770.66,765.62,766.75
487,20190412,765.6,769.09,762.99,767.85
488,20190411,762.15,766.56,762.13,766.49
489,20190410,755.73,760.15,754.05,760.15
490,20190409,753.72,756.92,749.87,756.81
491,20190408,755.32,756.16,750.02,751.92
492,20190405,752.28,753.97,748.79,751.71
493,20190404,750.9,753.39,746.29,751.58
494,20190403,741.76,749.3,740.73,749.3
495,20190402,740.94,740.94,737.18,739.57
496,20190401,731.5,737.69,729.74,736.81
497,20190329,723.64,729.31,714.53,729.31
498,20190328,727.7,728.56,719.72,719.72
499,20190327,739.22,739.22,728.43,728.45
500,20190326,732.76,737.5,729.22,736.81
501,20190325,733.51,737.22,726.93,727.21
502,20190322,747.87,748.05,741.03,743.97
503,20190321,750.79,753.98,742.03,743.52
504,20190320,750.5,750.5,741.25,749.76
505,20190319,757.07,757.88,748.76,748.91
506,20190318,752.15,755.89,748.7,753.13
507,20190315,756.82,757.29,743.34,748.36
508,20190314,758.53,762.41,755.42,755.42
509,20190313,755.3,758.9,750.49,754.89
510,20190312,745.76,754.76,745.76,754.76
511,20190311,737.27,739.1,726.11,739.09
512,20190308,733.38,739.59,730.42,735.97
513,20190307,746.21,750.13,733.49,736.83
514,20190306,750.13,750.81,741.68,746.7
515,20190305,746.9,751.45,743.8,747.95
516,20190304,739.19,748.87,739.19,748.07
517,20190228,753.29,755.92,731.25,731.25
518,20190227,748.11,752.16,747.16,752.16
519,20190226,752.25,753.66,746.12,747.09
520,20190225,746.79,750.93,746.3,750.4
521,20190222,747.25,748.11,740.94,743.38
522,20190221,752.3,752.75,744.87,747.33
523,20190220,749.52,751.66,747.56,750.69
524,20190219,746.5,748.69,741.2,748.05
525,20190218,743.53,746.81,742.5,745.33
526,20190215,741.53,743.2,734.37,738.66
527,20190214,740.69,742.46,737.07,742.27
528,20190213,734.56,740.44,733.37,739.91
529,20190212,734.87,735.14,729.52,730.58
530,20190211,731.82,733.94,730.32,733.47
531,20190208,726.4,729.74,724.99,728.74
532,20190207,719.86,728.89,717.53,728.79
533,20190201,719.08,719.74,714.66,716.92
534,20190131,719.93,721.58,714.31,716.86
535,20190130,712.87,716.77,711.71,715.3
536,20190129,712.65,713.65,705.89,710.99
537,20190128,713.41,717.31,711.96,714.26
538,20190125,705.66,712.67,704.67,711.38
539,20190124,696.97,704.78,696.8,704.41
540,20190123,691.5,697.06,690.91,695.63
541,20190122,698,698.3,692.45,694.55
542,20190121,698.74,698.74,692.95,695.62
543,20190118,690.83,696.34,689.8,696.34
544,20190117,694.94,696.21,686.27,686.35
545,20190116,692.72,693.5,687.43,693.38
546,20190115,684.97,691.56,684.32,690.39
547,20190114,687.42,687.42,682.54,683.09
548,20190111,686.09,688.01,683.59,686.33
549,20190110,680.61,685.65,678.23,683.34
550,20190109,672.38,681.12,671.95,679.74
551,20190108,674.53,675.05,667.01,668.49
552,20190107,672.76,675.31,669.07,672.84
553,20190104,655.62,664.49,648.95,664.49
554,20190103,671.98,673.61,656.85,657.02
555,20190102,682.16,683.09,667.71,669.37
556,20181228,670.83,675.89,669.71,675.65
557,20181227,678.86,678.86,667.13,667.88
558,20181226,658.7,666.69,655.8,665.74
559,20181224,671.78,673.48,668.46,669.79
560,20181221,667.22,675.23,667.21,673.64
561,20181220,667.74,677.79,664.34,668.13
562,20181219,663.73,673.59,661.2,672.08
563,20181218,654.14,665.17,653.81,659.67
564,20181217,665.48,665.77,652.84,661.9
565,20181214,680.91,680.91,663.43,666.34
566,20181213,678.51,681.78,673.78,681.78
567,20181212,664.76,676.98,664.76,676.48
568,20181211,673.23,673.61,661.01,661.01
569,20181210,675.53,680.19,667.25,670.39
570,20181207,685.48,687.81,679.28,685.33
571,20181206,699.15,699.54,677.09,678.38
572,20181205,695.14,702.69,694.88,701.12
573,20181204,709.46,711.77,704.3,708.63
574,20181203,704.38,709.65,702.65,709.46
575,20181130,696.99,700.51,692.8,695.76
576,20181129,709.69,710.45,694.71,695.48
577,20181128,702.99,703.24,698.74,700.12
578,20181127,698.96,702.13,693.18,700.67
579,20181126,685.1,697.57,685.06,695.36
580,20181123,694.24,695.75,682.21,683.06
581,20181122,697.84,700.41,690.06,692.39
582,20181121,681.66,695.72,676.67,695.72
583,20181120,691.53,697.98,689.54,690.81
584,20181119,693.25,702.26,692.2,702.13
585,20181116,685.05,692.6,682.87,690.18
586,20181115,672.32,681.38,666.63,681.38
587,20181114,670.25,680.29,665.78,671.56
588,20181113,658.52,671.93,651.19,670.85
589,20181112,677.96,682.52,670.13,670.82
590,20181109,694.18,695.11,680.68,687.29
591,20181108,695.05,697.25,691.39,693.67
592,20181107,693.56,700.25,677.5,682.37
593,20181106,695.32,695.65,683.31,691.55
594,20181105,686.76,693.29,680.11,691.94
595,20181102,666.59,690.65,666.59,690.65
596,20181101,655.11,668.73,654.66,657.46
597,20181031,648.72,650.38,638.38,648.67
598,20181030,623.33,644.65,617.0,644.14
599,20181029,663.95,674.77,629.7,629.7
600,20181026,694.37,694.37,658.11,663.07
601,20181025,678.49,693.07,672.17,686.84
602,20181024,727.07,729.89,697.13,699.3
603,20181023,740.35,742.45,716.85,719.0
604,20181022,736.74,744.15,733.11,744.15
605,20181019,725.29,740.54,718.48,740.48
606,20181018,741.21,742.24,730.08,731.34
607,20181017,744.21,746.14,732.61,739.15
608,20181016,724.3,734.12,724.3,731.5
609,20181015,732.98,733.9,717.72,718.87
610,20181012,704.72,731.5,704.72,731.5
611,20181011,720.22,733.04,707.31,707.38
612,20181010,768.31,770.85,746.63,747.5
613,20181008,772.36,784.47,767.08,767.15
614,20181005,784.94,791.32,769.29,773.7
615,20181004,800.03,801.46,785.14,789.0
616,20181002,817.39,818.46,794.99,794.99
617,20181001,824.86,825.53,813.48,816.53
618,20180928,832.37,833.14,819.9,822.27
619,20180927,828.09,834.29,827.88,833.01
620,20180921,825.16,827.92,821.36,827.84
621,20180920,829.2,832.51,819.3,821.13
622,20180919,833,834.15,824.46,826.91
623,20180918,826.44,833.66,824.87,831.85
624,20180917,837.93,837.97,826.16,828.88
625,20180914,833.84,836.36,831.17,834.91
626,20180913,828.54,830.95,825.1,830.95
627,20180912,824.52,827.75,820.34,826.33
628,20180911,816.21,821.29,815.82,820.23
629,20180910,819.7,820.13,814.87,816.16
630,20180907,816.09,820.22,810.28,818.86
631,20180906,821.5,822.1,813.91,815.18
632,20180905,827.72,829.66,819.45,820.0
633,20180904,819.34,828.01,818.26,827.27
